Heating Setpoint,North,East,South,West
55,22.298,63.36,129.226,129.226
56,24.341,69.178,140.299,140.299
57,25.9,73.66,148.049,148.049
58,27.997,79.648,158.973,158.973
59,29.356,83.435,164.589,164.589
60,32.053,91.268,178.71,178.71
61,35.164,100.271,193.869,193.869
62,39.192,111.057,210.927,210.927
63,41.393,117.309,219.593,219.593
64,43.374,123.183,228.311,228.311
65,46.253,131.488,239.657,239.657
66,49.261,140.363,250.442,250.442
67,53.387,152.514,267.934,267.934
68,56.847,162.677,280.299,280.299
69,61.43,175.191,294.835,294.835
70,62.852,179.59,300.625,300.625
71,66.153,188.244,308.782,308.782
72,72.094,205.074,326.474,326.474
73,73.792,209.58,332.009,332.009
74,75.491,214.39,336.936,336.936
75,76.43,216.794,339.349,339.349
76,81.675,228.609,347.93,347.93
77,84.707,236.237,354.301,354.301
78,86.926,241.399,357.816,357.816
79,90.542,251.392,366.575,366.575
80,94.728,261.84,374.491,374.491
81,98.644,271.098,380.793,380.793
82,101.977,279.749,387.694,387.694
83,110.715,301.004,403.181,403.181
84,116.363,313.429,411.459,411.459
85,123.701,329.528,421.723,421.723
